,DEPARTAMENTO,TOTAL,CANTIDAD
0,AMAZONAS,104.91,1426
1,ANTIOQUIA,709226.73,107969
2,ARAUCA,582.73,6003
3,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,461.45,11745
4,ATLANTICO,7340.94,48034
5,BOLIVAR,4794.09,36059
6,BOYACA,3112.35,25735
7,CALDAS,2474.76,21866
8,CAQUETA,217704.89,7499
9,CASANARE,1070.57,16493
10,CAUCA,1910.9,19878
11,CESAR,2478.69,13493
12,CHOCO,2182.9,6901
13,CORDOBA,1899.22,9252
14,CUNDINAMARCA,4417.13,43584
15,GUAINIA,57.96,760
16,GUAVIARE,106.83,1387
17,HUILA,2366.16,26270
18,LA GUAJIRA,1650.4,6022
19,MAGDALENA,1443.08,12719
20,META,2008.14,27388
21,NARIÃ‘O,1691.69,19374
22,NORTE DE SANTANDER,6093165.5,27506
23,PUTUMAYO,833.23,8416
24,QUINDIO,723.21,25332
25,RISARALDA,669059.48,29536
26,SANTAFE DE BOGOTA D.C,20618228.75,754772
27,SANTANDER,4297.33,65951
28,SUCRE,1291.47,12838
29,TOLIMA,3518.3,39950
30,VALLE DEL CAUCA,34366.06,149455
31,VAUPES,37.41,481
32,VICHADA,739964.88,1803
